train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
1900,1,17,120,89,13,87,21
8020,51,60,280,242,49,140,326
9100,297,302,325,89,12,502,103
15500,-1,1,30,74,12,54,480
215500,13,4,116,107,37,320,490
18300,-7,3,225,66,37,320,480
31910,16,0,284,242,27,62,443
78400,-4,0,66,165,7,336,239
28010,-9,0,142,12,37,6,326
50400,0,0,187,118,51,342,412
54100,3,1,35,217,7,393,142
1100,20,30,392,89,40,75,397
9100,12,3,94,35,41,344,24
9310,30,13,216,35,34,319,480
16200,4,1,154,105,23,0,326
37000,8,0,89,89,17,62,417
9420,20,1,336,242,37,391,326
6520,26,21,156,121,2,12,481
4800,125,18,370,12,37,381,326
225300,-2,0,232,28,22,43,326
8210,1,0,136,89,49,478,350
17620,0,0,674,114,22,379,390
500,32,42,594,35,36,417,384
9000,-8,0,116,35,11,488,326
13820,9,3,110,66,49,391,480
17800,-8,0,75,89,37,320,312
64520,-2,0,158,89,7,320,250
71300,13,22,172,223,7,149,298
17200,6,0,24,89,37,276,326
29020,13,1,180,89,37,397,326
6610,-5,0,187,74,43,320,369
58000,3,0,87,216,7,239,340
9100,-4,0,618,89,34,319,182
5510,26,0,195,114,37,320,54
1900,81,85,164,89,13,21,35
1100,10,0,177,89,51,408,471
31910,-7,15,99,89,17,433,443
4800,-5,0,141,89,22,6,326
8520,51,30,54,142,7,478,140
2700,1,20,257,89,29,485,438
8510,-3,0,182,181,12,320,24
17420,11,3,156,105,49,479,12
215000,-4,1,185,132,23,24,326
65110,-3,0,91,111,41,320,350
60020,-1,1,104,89,41,183,350
7600,6,0,165,89,30,73,94
7930,18,0,520,89,41,24,73
9100,12,0,116,89,37,320,490
5800,-40,0,173,121,17,264,62
2000,27,83,476,229,23,176,12
215400,2,0,225,121,37,478,326
68500,-2,0,62,238,33,42,104
17420,23,34,109,89,17,390,12
9410,9,5,91,173,41,344,326
77700,8,0,88,216,7,334,239
215400,3,2,195,139,56,54,326
17800,2,3,91,77,41,344,326
50510,-5,0,187,133,51,408,348
66720,-2,0,195,35,41,320,183
14310,29,17,91,26,9,320,350
25300,8,0,141,12,37,320,6
8510,8,0,223,79,34,320,480
68800,39,41,49,238,3,104,501
35400,-13,0,304,89,25,62,356
6720,13,0,157,142,10,478,481
215800,2,0,225,78,10,478,326
6710,27,0,233,111,22,43,326
82100,9,3,121,89,39,313,165
24100,-2,0,141,242,37,320,6
215900,-2,2,116,107,37,320,490
9310,-3,0,230,181,22,28,326
60010,10,12,81,142,41,344,324
15200,-2,1,91,66,41,344,326
5510,7,0,184,105,23,320,24
225400,-8,0,225,178,49,478,326
